"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,"Reporting starts","Reporting ends"
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",35-44,unknown,35,52,13,,5,THB,1.97003377,4,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",65+,unknown,44,84,1,,0,THB,1.92998794,1,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle | 1-28 Feb 2026","Lifestyle  |  1-28 Feb 2026",45-54,unknown,44,74,,,0,THB,1.89,,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle | 1-28 Feb 2026","Lifestyle  |  1-28 Feb 2026",65+,unknown,29,50,,,0,THB,1.59,,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",45-54,unknown,22,49,4,,0,THB,1.06999083,1,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",55-64,unknown,16,25,12,,3,THB,1.06001817,3,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle | 1-28 Feb 2026","Lifestyle  |  1-28 Feb 2026",55-64,unknown,15,27,,,0,THB,0.96,,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | Lifestyle  | 1-28 Feb 2026","Lifestyle |  1-28 Feb 2026",55-64,unknown,6,9,,,0,THB,0.95015474,,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",45-54,unknown,11,19,11,,2,THB,0.87001492,2,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",55-64,unknown,10,20,1,,0,THB,0.75999348,,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | Lifestyle  | 1-28 Feb 2026","Lifestyle |  1-28 Feb 2026",65+,unknown,5,6,,,0,THB,0.73011891,,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",65+,unknown,9,16,2,,1,THB,0.4900084,1,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",Unknown,female,3,3,,,0,THB,0.05999962,,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",Unknown,male,1,1,,,0,THB,0.00999991,,,,,,2026-02-01,2026-02-28
