"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",65+,male,194,252,4,,8,THB,9.65109551,1,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",65+,male,58,65,3,,1,THB,9.07961797,3,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",65+,male,122,241,166,,6,THB,9.06068591,1,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",45-54,female,91,106,2,,3,THB,6.29,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",35-44,unknown,51,141,5,,5,THB,6.14613518,1,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",18-24,unknown,33,51,8,,0,THB,6.1,8,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",25-34,unknown,350,568,4,,3,THB,5.06986595,3,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",25-34,unknown,28,39,5,,2,THB,4.54,5,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",35-44,male,86,107,2,,2,THB,4.44,1,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",35-44,unknown,84,111,70,,0,THB,4.29032479,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",18-24,unknown,62,99,8,,8,THB,4.21439811,3,,,,,,2025-09-01,2025-09-30
