"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,"Reporting starts","Reporting ends"
"3021 | BU D'Ultimate | Engage FB | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",25-34,unknown,142,257,2,,1,THB,8.28009463,2,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels |  1-15 Mar 2026",25-34,unknown,98,142,21,,8,THB,7.1101016,9,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Message FB | BOGO 52,500.-  | 1-31 Mar 2026","BOGO 52,500.-  | 1-31 Mar 2026",25-34,unknown,25,41,4,,6,THB,6.09103975,2,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | BOGO 52,500.-  | 1-31 Mar 2026","BOGO 52,500.-  | 1-31 Mar 2026",25-34,unknown,89,131,7,,7,THB,5.46018202,5,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",35-44,unknown,64,106,,,0,THB,3.82004366,,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",35-44,unknown,53,83,3,,3,THB,3.64990267,3,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",45-54,unknown,29,49,3,,3,THB,3.52990587,3,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | BOGO 52,500.-  | 1-31 Mar 2026","BOGO 52,500.-  | 1-31 Mar 2026",35-44,unknown,40,77,3,,2,THB,3.17010568,3,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Message FB | BOGO 52,500.-  | 1-31 Mar 2026","BOGO 52,500.-  | 1-31 Mar 2026",65+,unknown,6,8,,,0,THB,2.90526567,,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Message FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",65+,unknown,4,4,,,1,THB,2.77,,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",45-54,unknown,42,63,,,1,THB,2.63003006,,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels |  1-15 Mar 2026",35-44,unknown,39,67,10,,3,THB,2.52003601,3,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels |  1-15 Mar 2026",45-54,unknown,24,33,9,,2,THB,2.09002987,2,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | BOGO 52,500.-  | 1-31 Mar 2026","BOGO 52,500.-  | 1-31 Mar 2026",45-54,unknown,22,46,,,0,THB,2.05006834,,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",65+,unknown,14,24,2,,2,THB,1.69998057,,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels | 1-15 Mar 2026",65+,unknown,11,30,2,,0,THB,1.5601249,,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels | 1-15 Mar 2026",45-54,unknown,11,25,5,,0,THB,1.30010408,3,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",45-54,unknown,24,31,,,0,THB,1.15998674,,,,,,2026-03-01,2026-03-31
