"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",35-44,unknown,355,436,,,0,THB,2.86996173,,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",45-54,unknown,283,395,,,0,THB,2.78996279,,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Engage | Lifestyle reels  | 1-30 June 2026","Lifestyle reels |  1-30 June 2026",55-64,unknown,51,59,46,,2,THB,2.62998873,,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",25-34,unknown,303,379,2,,2,THB,2.62994782,1,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Engage | Lifestyle reels  | 1-30 June 2026","Lifestyle reels |  1-30 June 2026",45-54,unknown,57,65,38,,0,THB,2.41998963,,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",45-54,unknown,242,341,,,0,THB,2.38995258,,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",55-64,unknown,98,298,,,0,THB,2.2800285,,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",55-64,unknown,230,321,1,,1,THB,2.26996973,,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  Pride Month Pro 29,800.-  | 1-30 June 2026","Page Follower | Pride Month Pro 29,800.-  | 1-30 June 2026",65+,unknown,29,59,1,,1,THB,2.18,1,,,1,,,2026-06-01,2026-06-30
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",35-44,unknown,232,284,,,1,THB,1.92996171,,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",55-64,unknown,185,264,,,0,THB,1.85996309,,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  D*Ultimate x Journal Privilege | 1-25 June 2026","Page Follower | D*Ultimate x Journal Privilege | 1-25 June 2026",45-54,unknown,17,57,,,0,THB,1.60998047,,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",65+,unknown,144,201,,,0,THB,1.51997973,,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",65+,unknown,117,164,,,0,THB,1.03997936,,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Engage | Lifestyle reels  | 1-30 June 2026","Lifestyle reels |  1-30 June 2026",65+,unknown,23,30,18,,0,THB,1.01999563,,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  D*Ultimate x Journal Privilege | 1-25 June 2026","Page Follower | D*Ultimate x Journal Privilege | 1-25 June 2026",65+,unknown,11,19,,,0,THB,0.89998908,,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  Pride Month Pro 29,800.-  | 1-30 June 2026","Page Follower | Pride Month Pro 29,800.-  | 1-30 June 2026",55-64,unknown,37,63,,,0,THB,0.58,,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  D*Ultimate x Journal Privilege | 1-25 June 2026","Page Follower | D*Ultimate x Journal Privilege | 1-25 June 2026",55-64,unknown,4,11,,,0,THB,0.17999782,,,,,,,2026-06-01,2026-06-30
